,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
86,Buford City,Buford Middle School,M,2700 Robert Bell Parkway,Buford,30518,93.4,34.127557,-83.991115
87,Marietta City,Marietta Center for Advanced Academics,E,311 Aviation Road,Marietta,30060,95.9,33.9443711,-84.52553571468006
88,Coweta County,Northside Elementary School,E,720 Country Club Road,Newnan,30263,85.2,33.42421,-84.798874
90,DeKalb County,Ashford Park Elementary School,E,2968 Cravenridge Drive NE,Atlanta,30319,91.6,33.87500834566158,-84.32114617749079
91,DeKalb County,Laurel Ridge Elementary School,E,1215 Balsam Drive,Decatur,30033,83.6,33.8154910625,-84.27688
92,Fayette County,Peachtree City Elementary School,E,201 Wisdom Road,Peachtree City,30269,91.7,33.409093,-84.598816
93,Forsyth County,Big Creek Elementary School,E,1994 Peachtree Parkway,Cumming,30041,96.0,34.1586432,-84.1731772
94,Forsyth County,Midway Elementary School,E,4805 Atlanta Highway,Alpharetta,30004,87.5,34.1572052,-84.2436393
95,Gwinnett County,Roberts Elementary School,E,251 Buford Highway,Suwanee,30024,96.6,34.07246485,-84.05124209045074
96,Gwinnett County,Burnette Elementary School,E,3221 McGinnis Ferry Road,Suwanee,30024,92.4,34.031976263157894,-84.06770531578947
97,Gwinnett County,Dyer Elementary School,E,1707 Hurricane Shoals Road,Dacula,30019,92.1,33.99700208020034,-83.93574101717066
98,Gwinnett County,Starling Elementary School,E,1725 Grayson Highway,Grayson,30017,94.0,33.902589,-83.9656687
99,Gwinnett County,Northbrook Middle School,M,1221 Northbrook Parkway,Suwanee,30024,92.7,34.00615939001012,-84.06739268608825
100,Gwinnett County,White Oak Elementary School,E,6442 Suwanee Dam Road,Sugar Hill,30518,93.2,34.143423247866025,-84.06394197824294
102,Gwinnett County,Level Creek Elementary School,E,4488 Tench Road,Suwanee,30024,97.3,34.0711387,-84.0710562
103,Gwinnett County,North Gwinnett Middle School,M,170 Peachtree Industrial Boulevard,Sugar Hill,30518,92.3,34.07897625,-84.06130340959783
104,Gwinnett County,Twin Rivers Middle School,M,2300 Braselton Highway,Buford,30519,92.3,34.04503545523997,-83.94501063566655
105,Gwinnett County,Harmony Elementary School,E,3946 South Bogan Road,Buford,30519,91.7,34.0971824,-83.9796113
108,Gwinnett County,Camp Creek Elementary School,E,958 Cole Drive,Lilburn,30047,93.9,33.8701119,-84.1232268
109,Gwinnett County,North Gwinnett High School,H,20 Level Creek Road,Suwanee,30024,94.8,34.096376,-84.050925
110,Atlanta Public Schools,Brandon Elementary School,E,2741 Howell Mill Road NW,Atlanta,30327,96.5,33.838648,-84.422438
111,Atlanta Public Schools,Jackson Elementary School,E,1325 Mount Paran Road,Atlanta,30327,96.4,33.8635586,-84.4399898
113,Atlanta Public Schools,Mary Lin Elementary School,E,586 Candler Park Drive NE,Atlanta,30307,93.1,33.769528445247616,-84.33943998713966
114,Marietta City,West Side Elementary School,E,344 Polk Street NW,Marietta,30064,90.5,33.956485400000005,-84.56223294332759
115,Barrow County,Apalachee High School,H,940 Haymon Morris Rd,Winder,30680,77.0,33.950889256354536,-83.78854494113207
116,Barrow County,County Line Elementary School,E,334 Rockwell Church Rd NW,Winder,30680,76.4,34.0294676,-83.7329283
117,Barrow County,Haymon-Morris Middle School,M,1008 Haymon Morris Rd,Winder,30680,60.6,33.950554,-83.779087
118,Barrow County,Bear Creek Middle School,M,228 Jefferson St,Statham,30666,82.1,33.96936721010599,-83.59134429964669
120,Barrow County,Kennedy Elementary School,E,200 Matthews School Rd,Winder,30680,77.1,33.981683,-83.763614
121,Barrow County,Bramlett Elementary School,E,622 Freeman Brock Rd,Auburn,30011,79.1,34.03526366169005,-83.80881490930355
122,Barrow County,Westside Middle School,M,240 Matthews School Rd,Winder,30680,59.3,33.98170048276818,-83.76364847990392
123,Barrow County,Russell Middle School,M,84 W Midland Ave,Winder,30680,71.6,33.997433900000004,-83.72303025588826
124,Barrow County,Yargo Elementary School,E,1000 Haymon Morris Rd,Winder,30680,71.7,33.950554,-83.779087
125,Barrow County,Winder Elementary School,E,194 McNeal Rd,Winder,30680,73.2,34.00471300047373,-83.73351619269206
