,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
477,Gwinnett County,Corley Elementary School,E,1331 Pleasant Hill Rd,Lawrenceville,30044,74.4,33.9374529600665,-84.12065204003208
478,Gwinnett County,Mulberry Elementary School,E,442 E Union Grove Cir,Auburn,30011,78.1,34.03240437482113,-83.86194897111402
479,Gwinnett County,Lanier Middle School,M,6482 Suwanee Dam Rd,Buford,30518,90.8,34.148144349999995,-84.0654186072951
480,Gwinnett County,Lovin Elementary School,E,1705 New Hope Rd,Lawrenceville,30045,77.2,33.924930023167285,-83.92293886065315
481,Gwinnett County,Knight Elementary School,E,401 N River Road,Lilburn,30047,77.3,44.595949,-73.881289
482,Gwinnett County,Beaver Ridge Elementary School,E,1978 Beaver Ruin Rd,Norcross,30071,75.2,33.932571,-84.17694452578469
483,Gwinnett County,Shiloh Middle School,M,4285 Shiloh Rd,Snellville,30039,69.3,33.824866836625375,-84.07124803231319
484,Gwinnett County,Hopkins Elementary School,E,1315 Dickens Rd NW,Lilburn,30047,79.7,33.908785,-84.147473
485,Gwinnett County,Minor Elementary School,E,4129 Shady Dr NW,Lilburn,30047,81.4,33.91460261783925,-84.12667079788667
486,Gwinnett County,McKendree Elementary School,E,1600 Riverside Pkwy,Lawrenceville,30043,76.0,33.9794651,-84.0265268
487,Gwinnett County,Shiloh Elementary School,E,2400 Ross Rd,Snellville,30039,74.5,33.8248352147651,-84.07483929530201
488,Gwinnett County,M. H. Mason Elementary School,E,3030 Bunten Rd,Duluth,30096,89.9,33.99532543764747,-84.11999210351063
489,Gwinnett County,Rosebud Elementary School,E,4151 Rosebud Rd,Loganville,30052,77.5,33.7919524,-83.9633163
490,Gwinnett County,Dacula Middle School,M,137 Dacula Rd,Dacula,30019,85.4,33.99154430612245,-83.89665687755102
491,Gwinnett County,GIVE Center East,MH,723 Hi Hope Rd,Lawrenceville,30043,34.7,33.98981476561941,-83.97284576773185
492,Gwinnett County,Cedar Hill Elementary School,E,3615 Sugarloaf Pkwy,Lawrenceville,30044,68.4,33.92594210336783,-84.02318914193178
493,Gwinnett County,Partee Elementary School,E,4350 Campbell Rd,Snellville,30039,82.0,33.79530929554984,-84.05348094529168
494,Gwinnett County,Taylor Elementary School,E,600 Taylor School Dr,Lawrenceville,30043,88.0,45.359224,-90.842881
495,Gwinnett County,W. J. Cooper Elementary School,E,555 Ozora Rd,Loganville,30052,78.8,33.892781,-83.9143929090909
496,Gwinnett County,Patrick Elementary School,E,2707 Kilgore Rd,Buford,30519,86.0,34.0890589,-83.95743417337641
497,Gwinnett County,Parsons Elementary School,E,1615 Old Peachtree Road,Suwanee,30024,88.9,34.008475,-84.1297247
498,Gwinnett County,Peachtree Ridge High School,H,1555 Old Peachtree Rd NW,Suwanee,30024,86.9,34.01401665,-84.08599569190558
499,Gwinnett County,Duluth Middle School ,M,3200 Pleasant Hill Rd,Duluth,30096,84.7,33.984102,-84.158505
500,Hall County,Friendship Elementary School,E,4450 Friendship Rd,Buford,30519,72.6,34.13497837200952,-83.94186517426886
501,Henry County,Ola Elementary School,E,278 N Ola Rd,McDonough,30252,72.0,33.44505711496673,-84.04146895695584
502,Henry County,Union Grove High School,H,120 E Lake Rd,McDonough,30252,80.1,33.5074113770369,-84.12669083199121
503,Henry County,Luella High School,H,603 Walker Dr,Locust Grove,30248,66.3,33.3803892,-84.1959003
504,Henry County,Dutchtown High School,H,149 Mitchell Rd,Hampton,30228,69.3,33.47077632026227,-84.25524947687052
505,Henry County,Luella Elementary School,E,575 Walker Dr,Locust Grove,30248,59.0,33.3803892,-84.1959003
506,Henry County,Dutchtown Elementary School,E,159 Mitchell Rd,Hampton,30228,69.6,33.4704190666687,-84.25524418235713
507,Henry County,Cotton Indian Elementary School,E,1201 Old Conyers Rd,Stockbridge,30281,65.8,33.560024129826054,-84.20174932194409
508,Henry County,Wesley Lakes Elementary School,E,685 McDonough Pkwy,McDonough,30253,64.4,33.4673398,-84.1621754
509,Henry County,Pate's Creek Elementary School,E,1309 Jodeco Rd,Stockbridge,30281,74.2,33.49535396611952,-84.24103188331443
510,Henry County,Pleasant Grove Elementary School,E,150 Reagan Rd,Stockbridge,30281,65.8,33.54872230232931,-84.13877571548558
511,Henry County,Mount Carmel Elementary School,E,2450 Mt. Carmel Rd,Hampton,30228,71.4,33.43683119088569,-84.27158508373918
513,Henry County,East Lake Elementary School,E,199 E Lake Rd,McDonough,30252,76.9,33.507613,-84.13453
514,Henry County,Dutchtown Middle School,M,155 Mitchell Rd,Hampton,30228,71.2,33.470561968106125,-84.25524630016248
515,Henry County,Walnut Creek Elementary School,E,3535 McDonough Pkwy,McDonough,30253,55.9,33.470008294107075,-84.15376930554557
516,Henry County,Rocky Creek Elementary School,E,803 Hampton-Locust Grove Rd,Hampton,30228,73.4,33.37699674183768,-84.24477647399962
517,Henry County,Locust Grove Middle School,M,3315 S Ola Rd,Locust Grove,30248,54.7,33.3456300341538,-84.06253848655534
518,Henry County,Locust Grove High School,H,3275 S Ola Rd,Locust Grove,30248,67.6,33.34957977091751,-84.06151791565176
519,Henry County,Hampton Middle School,M,799 Hampton-Locust Grove Rd,Hampton,30228,63.7,33.37885,-84.248001
520,Henry County,Austin Road Elementary School,E,50 Austin Rd,Stockbridge,30281,61.5,33.61350685296623,-84.18571833653091
521,Henry County,Stockbridge High School,H,1151 Old Conyers Rd,Stockbridge,30281,63.0,33.558218,-84.20362
522,Henry County,Hickory Flat Charter Elementary School,E,841 Brannan Rd,McDonough,30253,68.7,33.504708236347646,-84.16739641985407
523,Henry County,Unity Grove Elementary School,E,1180 LeGuin Mill Rd,Locust Grove,30248,70.5,33.384783,-84.047293
524,Henry County,Ola High School,H,357 N Ola Rd,McDonough,30252,79.0,33.44517285422563,-84.04166402741858
525,Henry County,Hampton High School,H,795 Hampton-Locust Grove Rd,Hampton,30228,66.8,33.37883801082206,-84.24810988130992
526,Henry County,Eagle's Landing High School,H,301 Tunis Rd,McDonough,30253,63.7,33.48982585,-84.20991725344376
527,Henry County,Eagle's Landing Middle School,M,295 Tunis Rd,McDonough,30253,61.4,33.488260749999995,-84.2087339334822
528,Henry County,Austin Road Middle School,M,100 Austin Rd,Stockbridge,30281,66.5,33.614023175933134,-84.18571325238925
529,Henry County,Red Oak Elementary School,E,175 Monarch Village Way,Stockbridge,30281,62.8,33.5256791,-84.2669768
530,Henry County,New Hope Elementary School,E,1655 New Hope Rd,Locust Grove,30248,64.0,33.39270368391877,-84.02231250673809
531,Henry County,Tussahaw Elementary School,E,225 Coan Dr,McDonough,30252,60.3,33.39209381743095,-84.11369117007355
532,Henry County,Flippen Elementary School,E,425 Peach Dr,McDonough,30253,45.8,33.4940948,-84.19978819773377
533,Henry County,Ola Middle School,M,353 N Ola Rd,McDonough,30252,78.2,33.44506386463809,-84.04166552546012
534,Henry County,Luella Middle School,M,2075 Hampton-Locust Grove Rd,Locust Grove,30248,53.8,33.37464719057087,-84.20800980164015
535,Henry County,Union Grove Middle School,M,210 E Lake Rd,McDonough,30252,78.5,33.507428109069714,-84.12913380336528
536,Newton County,Veterans Memorial Middle School,M,13357 Brown Bridge Rd,Covington,30016,63.5,33.5731645759717,-83.97397130226342
537,Newton County,South Salem Elementary School,E,5335 Salem Rd,Covington,30016,67.8,33.56672341175371,-83.94090182717463
538,Newton County,Live Oak Elementary School,E,500 Kirkland Rd,Covington,30016,63.2,33.59121244294769,-83.92829446757356
539,Newton County,Clements Middle School,M,66 Jack Neely Rd,Covington,30016,67.3,33.61122936401782,-83.93582537389612
540,Newton County,Flint Hill Elementary School,E,1300 Airport Road,Oxford,30054,67.9,33.647779,-83.844098
541,Newton County,Newton County Theme School at Ficquett,EM,2207 Williams Street,Covington,30014,93.1,33.6311514,-83.8687925
542,Newton County,Fairview Elementary School,E,3325 Fairview Rd,Covington,30016,64.8,33.612318,-83.955824
544,Newton County,Cousins Middle School,M,8187 Carlton Trl NW,Covington,30014,65.7,33.61197792758695,-83.87668040375638
545,Newton County,Eastside High School,H,10245 Eagle Drive,Covington,30014,80.5,33.570919,-83.848134
546,Newton County,West Newton Elementary School,E,13387 Brown Bridge Rd,Covington,30016,67.7,33.57376788252224,-83.97330075600391
547,Paulding County,Bessie L. Baggett Elementary School,E,948 Williams Lake Rd,Powder Springs,30127,82.9,33.83414572122683,-84.75618160457081
548,Paulding County,Lillian C. Poole Elementary School,E,1002 Wayside Ln,Dallas,30132,70.9,33.916065,-84.919945
549,Paulding County,South Paulding High School,H,1364 Winn Rd,Douglasville,30134,74.8,33.785984208468925,-84.85097185958237
550,Paulding County,North Paulding High School,H,300 N Paulding Dr,Dallas,30132,75.0,41.163135,-73.757524
551,Paulding County,Burnt Hickory Elementary School,E,80 N Paulding Dr,Dallas,30132,83.7,41.163135,-73.757524
552,Paulding County,W.C. Abney Elementary School,E,1186 Colbert Rd,Dallas,30132,74.7,33.975469204003865,-84.79522559596057
553,Paulding County,McGarity Elementary School,E,262 Rakestraw Mill Rd,Hiram,30141,78.0,33.906974,-84.764766
554,Paulding County,South Paulding Middle School,M,592 Nebo Rd,Dallas,30157,81.4,33.821067,-84.868345
555,Paulding County,Sam D. Panter Elementary School,E,190 Panter School Rd,Hiram,30141,76.6,33.860348,-84.764723
556,Paulding County,Nebo Elementary School,E,2843 Nebo Rd,Dallas,30157,76.5,33.834851550654484,-84.83912379360073
557,Paulding County,C. A. Roberts Elementary School,E,1833 Mount Tabor Church Rd,Dallas,30157,76.7,33.940554812316826,-84.76943893922238
558,Paulding County,P. B. Ritch Middle School,M,60 Old Country Trl,Dallas,30157,83.8,33.9126513,-84.7691992
559,Paulding County,East Paulding High School,H,3320 E Paulding Dr,Dallas,30157,71.2,33.955515,-84.779918
560,Paulding County,J. A. Dobbins Middle School,M,637 Williams Lake Rd,Powder Springs,30127,71.4,33.833943048791106,-84.74307728090048
561,Paulding County,Allgood Elementary School,E,312 Hart Rd,Dallas,30157,69.1,33.87253662470717,-84.84671037148463
563,Paulding County,Connie Dugan Elementary School,E,1362 Winn Rd,Douglasville,30134,70.9,33.78598646516157,-84.85097765379322
564,Paulding County,Hal Hutchens Elementary School,E,586 Clonts Rd,Douglasville,30134,72.5,33.80440547832274,-84.77121449127254
565,Paulding County,East Paulding Middle School,M,2945 Hiram-Acworth Hwy.,Dallas,30157,78.2,33.93329544017579,-84.74657321070801
566,Paulding County,Austin Middle School,M,3490 Ridge Rd,Douglasville,30134,84.0,33.8042495,-84.82989037133086
567,Pickens County,Hill City Elementary School,E,600 Hill Cir,Jasper,30143,70.7,34.473249022121564,-84.51646517838438
568,Pickens County,Pickens County Middle School,M,1802 Refuge Rd,Jasper,30143,64.4,34.4442302,-84.4192724647767
569,Pickens County,Pickens County High School,H,500 Dragon Dr,Jasper,30143,77.4,34.44923035,-84.39682245031055
570,Pickens County,Jasper Elementary School,E,158 Stegall Dr,Jasper,30143,54.1,34.468736899999996,-84.433692741101
571,Pickens County,Jasper Middle School,M,339 W Church St,Jasper,30143,74.0,34.465190899999996,-84.43568784834241
572,Rockdale County,Peek's Chapel Elementary School,E,2800 Avalon Pkwy,Conyers,30013,60.2,41.858181,-83.394203
573,Rockdale County,General Ray Davis Middle School,M,3375 E Fairview Rd SW,Stockbridge,30281,68.4,33.6109951,-84.1644828
574,Rockdale County,Hicks Elementary School,E,1300 Pine Log Rd NE,Conyers,30012,58.4,33.664953,-84.003815
575,Rockdale County,Honey Creek Elementary School,E,700 Honey Creek Rd SE,Conyers,30094,75.2,33.596337,-84.023338
576,Rockdale County,Heritage High School,H,2400 Granade Rd.,Conyers,30094,74.7,33.628348,-84.049038
577,Rockdale County,Barksdale Elementary School,E,596 Oglesby Bridge Rd SE,Conyers,30094,73.3,33.56771356053801,-84.02565460541696
578,Rockdale County,Sims Elementary School,E,1821 Walker Rd.,Conyers,30094,60.5,30.7241128,-95.5298809
579,Rockdale County,Lorraine Elementary School,E,3343 E Fairview Rd SW,Stockbridge,30281,71.5,33.6109951,-84.1644828
580,Rockdale County,Conyers Middle School,M,400 Sigman Rd.,Conyers,30012,67.0,33.680989,-83.992879
581,Rockdale County,Edwards Middle School,M,2633 Stanton Rd SE,Conyers,30094,64.9,33.62294544956537,-84.03484666083855
582,Rockdale County,Alpha Academy,EMH,1045 North St.,Conyers,30012,25.4,50.2578056,12.6309789
583,Rockdale County,Open Campus Rockdale School,H,1115 West Ave.,Conyers,30012,47.3,33.6692474,-84.0223803
584,Griffin-Spalding County,Spalding High School,H,433 Wilson Rd,Griffin,30224,64.4,33.22855571331061,-84.23267395687176
585,Griffin-Spalding County,Moreland Road Elementary School,E,455 Moreland Rd,Griffin,30224,80.5,33.19685475510204,-84.30171528571428
586,Griffin-Spalding County,Carver Road Middle School,M,2185 Carver Rd,Griffin,30224,72.7,33.19388657142857,-84.29789671428571
587,Griffin-Spalding County,Kennedy Road Middle School,M,280 Kennedy Rd,Griffin,30223,57.3,33.266557517402035,-84.23840156682522
588,Griffin-Spalding County,Rehoboth Road Middle School,M,1500 Rehoboth Rd,Griffin,30224,67.7,33.218242581187326,-84.18941948128126
589,Griffin-Spalding County,Griffin High School,H,1617 W Poplar St,Griffin,30224,63.3,33.242066533333336,-84.29915493333334
590,Griffin-Spalding County,Cowan Road Elementary School,E,1233 Cowan Rd,Griffin,30223,65.4,33.27985914285714,-84.30599097959184
591,Griffin-Spalding County,Jordan Hill Road Elementary School,E,75 Jordan Hill Rd,Griffin,30223,69.3,33.29788887411944,-84.26259491669899
592,Griffin-Spalding County,Futral Road Elementary School,E,180 Futral Rd,Griffin,30224,79.1,33.22420012352551,-84.23665555739468
593,Griffin-Spalding County,Cowan Road Middle School,M,1185 Cowan Rd,Griffin,30223,50.9,33.27793,-84.30600542857142
594,Walton County,Atha Road Elementary School,E,821 H D Atha Rd,Monroe,30655,79.1,33.79194183136513,-83.78484217474609
595,Walton County,Monroe Elementary School,E,140 Dillard Dr,Monroe,30656,63.6,33.823179,-83.73948948286146
596,Walton County,Walnut Grove High School,H,4863 Guthrie Cemetery Rd,Loganville,30052,73.1,33.752372969576214,-83.87103474806958
597,Walton County,Loganville Elementary School,E,4303 Lawrenceville Hwy,Loganville,30052,89.7,33.83706969184777,-83.89198601348119
598,Walton County,Carver Middle School,M,1095 Good Hope Rd,Monroe,30655,64.9,33.796142,-83.679451
599,Walton County,Loganville High School,H,100 Trident Trail,Loganville,30052,80.6,33.8339602,-83.8677326
600,Walton County,Youth Elementary School,E,4009 Center Hill Church Road,Loganville,30052,88.4,33.78076069612743,-83.86185750458847
601,Walton County,Monroe Area High School,H,300 Double Springs Church Rd,Monroe,30656,67.9,33.826359,-83.77162
602,Walton County,Loganville Middle School,M,4869 Bay Creek Church Road,Loganville,30052,77.9,33.85185274491261,-83.86235480454367
603,Atlanta Public Schools,Brown Middle School,M,255 James P. Brawley Dr. SW,Atlanta,30314,64.3,33.749015216216215,-84.412894
604,Atlanta Public Schools,Parkside Elementary School,E,685 Mercer St SE,Atlanta,30312,73.0,33.735009149999996,-84.36465517125134
605,Atlanta Public Schools,Heritage Academy,E,3500 Villa Cir SE,Atlanta,30354,60.4,33.65976887784481,-84.3790474805728
606,Atlanta Public Schools,Dobbs Elementary School ,E,2025 Jonesboro Rd SE,Atlanta,30315,67.9,33.69802215,-84.37211644928965
607,Atlanta Public Schools,Finch Elementary School,E,1114 Avon Ave SW,Atlanta,30310,62.8,33.72251385,-84.42442570566186
608,Atlanta Public Schools,KIPP STRIVE Academy,EM,1444 Lucile Ave SW,Atlanta,30310,76.8,33.74254740816327,-84.43566981632654
609,Atlanta Public Schools,Springdale Park Elementary School,E,1246 Ponce de Leon Ave NE,Atlanta,30306,92.4,33.775131900000005,-84.34654093458957
610,Atlanta Public Schools,KIPP Vision Academy,EM,660 McWilliams Rd SE,Atlanta,30315,65.9,33.6887236,-84.3619469
611,Atlanta Public Schools,The Kindezi Schools,EM,1890 Detroit Ave NW,Atlanta,30314,77.0,33.76639975,-84.44883547286855
612,Atlanta Public Schools,Long Middle School,M,3200 Latona Dr SW,Atlanta,30354,64.6,33.667608055555554,-84.39492059259258
613,Atlanta Public Schools,Ralph J. Bunche Middle School ,M,1925 Niskey Lake Rd SW,Atlanta,30331,65.1,33.702113,-84.529214
614,Atlanta Public Schools,Benjamin E. Mays High School ,H,3450 Benjamin E Mays Dr SW,Atlanta,30331,56.7,33.73797316326531,-84.50098534693878
615,Atlanta Public Schools,Maynard H. Jackson High School ,H,801 Glenwood Ave SE,Atlanta,30316,67.4,33.739245499999996,-84.36189931220713
616,Atlanta Public Schools,Sylvan Hills Middle School,M,1461 Sylvan Rd SW,Atlanta,30310,65.0,33.7264481,-84.4181487
617,Atlanta Public Schools,North Atlanta High School,H,4111 Northside Pkwy NW,Atlanta,30327,77.1,33.8647099,-84.4497036
618,Atlanta Public Schools,Cascade Elementary School,E,2326 Venetian Dr SW,Atlanta,30311,57.4,33.71720175,-84.46553092111438
619,Atlanta Public Schools,Charles R. Drew Charter School Elementary Academy,E,301 E Lake Blvd SE,Atlanta,30317,89.8,33.742105400105906,-84.31533663674679
620,Atlanta Public Schools,Atlanta Neighborhood Charter School-Middle,M,820 Essie Ave SE,Atlanta,30316,71.1,33.73207695,-84.35439719367912
621,Atlanta Public Schools,KIPP STRIVE Primary School,E,1448 Lucile Ave SW,Atlanta,30310,78.7,33.74255308163266,-84.43570516326531
622,Atlanta Public Schools,KIPP Vision Primary Academy,E,660 McWilliams Rd SE,Atlanta,30315,52.6,33.6887236,-84.3619469
623,Atlanta Public Schools,KIPP WAYS Primary School,E,350 Temple St NW,Atlanta,30314,57.5,33.76419320358025,-84.42210510319255
624,Atlanta Public Schools,Young Middle School,M,3116 Benjamin E Mays Dr SW,Atlanta,30311,50.2,33.7340735,-84.49115499999999
625,Atlanta Public Schools,Perkerson Elementary School,E,2040 Brewer Blvd SW,Atlanta,30310,72.0,33.69888575,-84.41356449999999
626,Atlanta Public Schools,Bolton Academy,E,2268 Adams Dr NW,Atlanta,30318,67.8,33.81757464,-84.45488752
627,Atlanta Public Schools,Deerwood Academy,E,3070 Fairburn Rd SW,Atlanta,30331,59.8,33.67104395,-84.5128982593204
628,Atlanta Public Schools,Burgess-Peterson Academy ,E,480 Clifton St SE,Atlanta,30316,80.7,33.7406619,-84.3315914
629,Atlanta Public Schools,School of Technology at Carver,H,55 McDonough Blvd SE,Atlanta,30315,64.6,33.7199236,-84.3861775
630,Atlanta Public Schools,Westside Atlanta Charter School,EM,1903 Drew Dr NW,Atlanta,30318,76.8,42.087013,-74.770462
631,Atlanta Public Schools,Booker T. Washington High School,H,45 Whitehouse Dr SW,Atlanta,30314,56.9,33.7540663,-84.420035
632,Atlanta Public Schools,The Forrest Hill Academy,MH,2930 Forrest Hills Dr SW,Atlanta,30315,17.8,33.674303652952744,-84.39928357227937
633,Atlanta Public Schools,Atlanta Classical Academy,EMH,3260 Northside Dr NW,Atlanta,30305,75.0,33.8387633,-84.4081854
634,Atlanta Public Schools,Harper-Archer Middle School,M,3399 Collier Dr NW,Atlanta,30331,53.8,33.7688384337442,-84.49911347479282
635,Atlanta Public Schools,Atlanta Neighborhood Charter School-Elementary,E,688 Grant St SE,Atlanta,30315,88.6,33.73566275,-84.3761111
636,Atlanta Public Schools,Miles Intermediate Elementary School,E,4215 Bakers Ferry Rd SW,Atlanta,30331,69.9,33.7536928,-84.5249523
637,Atlanta Public Schools,Charles R. Drew Charter School,MH,300 E Lake Blvd SE,Atlanta,30317,86.9,33.742119,-84.315343
638,Atlanta Public Schools,Usher-Collier Elementary School,E,631 Harwell Rd NW,Atlanta,30318,62.7,33.7725,-84.4938889
639,Atlanta Public Schools,KIPP WAYS Academy,EM,350 Temple St NW,Atlanta,30314,77.8,33.76419320358025,-84.42210510319255
640,Buford City,Buford Academy,E,2705 Robert Bell Pkwy,Buford,30518,92.6,34.1297142,-83.9903429
641,Buford City,Buford High School,H,2750 Sawnee Ave,Buford,30518,89.0,34.1326364,-83.9865748
642,Buford City,Buford Elementary School,E,2500 Sawnee Ave,Buford,30518,96.0,34.1347411,-83.9958738
643,Cartersville City,Cartersville Primary School,E,315 Etowah Dr,Cartersville,30120,83.7,34.150483,-84.809238
644,Cartersville City,Cartersville Elementary School,E,340 Old Mill Rd,Cartersville,30120,77.6,34.149896,-84.807997
645,Cartersville City,Cartersville Middle School,M,825 Douthit Ferry Rd,Cartersville,30120,78.0,34.13503675,-84.82247761376541
646,City Schools of Decatur,Oakhurst Elementary School,E,175 Mead Rd,Decatur,30030,98.2,33.76451783838384,-84.30589156565657
647,City Schools of Decatur,Fifth Avenue Elementary School,E,101 Fifth Avenue,Decatur,30030,83.3,-36.8777416,174.7141672
648,City Schools of Decatur,Westchester Elementary School,E,758 Scott Blvd,Decatur,30030,97.9,33.7832631,-84.30629685581854
649,City Schools of Decatur,New Glennwood Elementary School,E,440 E Ponce de Leon Ave,Decatur,30030,96.0,33.77565520512821,-84.29044187179487
650,City Schools of Decatur,Winnona Park Elementary School,E,510 Avery St,Decatur,30030,97.6,33.7650372,-84.2898293
651,City Schools of Decatur,Clairemont Elementary School,E,155 Erie Ave,Decatur,30030,68.7,33.7825534,-84.29623377472268
652,Marietta City,Marietta High School ,H,1171 Whitlock Ave SW,Marietta,30064,76.3,33.9522711,-84.5516445
653,Marietta City,Sawyer Road Elementary School,E,840 Sawyer Rd,Marietta,30062,60.0,33.986180000000004,-84.5274085303371
654,Marietta City,A.L. Burruss Elementary School,E,325 Manning Rd SW,Marietta,30064,69.3,33.94444131955855,-84.57842439661327
655,Marietta City,Dunleith Elementary School,E,120 Saine Dr SW,Marietta,30008,83.4,33.91499202047093,-84.56263236693896
656,Marietta City,Marietta Middle School ,M,121 Winn St NW,Marietta,30064,70.3,33.954927049999995,-84.55847913942019
657,Marietta City,Lockheed Elementary School,E,1205 Merritt Rd,Marietta,30062,70.8,33.9719867,-84.51746062538183
658,Marietta City,Marietta 6th Grade School,M,340 Aviation Rd SE,Marietta,30060,81.9,33.9442583,-84.52892255389298
659,Social Circle City,Social Circle Primary School,E,439 Annie P Henderson Dr,Social Circle,30025,63.2,33.65945115158224,-83.71067713967322
660,Social Circle City,Social Circle Middle School,M,154 Alcova Dr,Social Circle,30025,63.4,33.659229100000005,-83.72951702705402
661,Social Circle City,Social Circle Elementary School,E,240 W Hightower Trl,Social Circle,30025,71.3,33.6577039,-83.72034669161857
662,Social Circle City,Social Circle High School,H,154 Alcova Dr,Social Circle,30025,64.2,33.659229100000005,-83.72951702705402
663,Barrow County,Auburn Elementary School,E,1334 6th Ave,Auburn,30011,61.5,34.01026945073206,-83.82437212683016
664,Barrow County,Winder-Barrow High School,H,272 N 5th Ave,Winder,30680,69.4,34.00352224658433,-83.72597572668707
665,Barrow County,Holsenbeck Elementary School,E,445 Holsenbeck School Rd,Winder,30680,71.2,34.007162,-83.674692
666,Barrow County,Statham Elementary School,E,1970 Broad St,Statham,30666,64.3,33.96440403090737,-83.593145380947
667,Bartow County,Emerson Elementary School,E,220 Old Alabama Rd,Emerson,30137,59.1,34.1166429,-84.7727962
668,Carroll County,Temple Elementary School,E,95 Otis St,Temple,30179,55.9,33.74093703050147,-85.03504670927174
669,Carroll County,Bowdon Elementary School,E,223 Kent Ave,Bowdon,30108,77.1,33.526272535714284,-85.252742625
670,Carroll County,Central High School,H,113 Central High Rd,Carrollton,30116,75.8,33.553821,-85.071066
671,Carroll County,Bowdon High School,H,504 W College St,Bowdon,30108,75.8,33.538041,-85.26617
672,Carroll County,Central Elementary School,E,175 Primary School Rd,Carrollton,30116,69.8,33.54368,-85.071992
673,Carroll County,Sand Hill Elementary School,E,45 Sandhill Ln,Carrollton,30116,70.2,33.6384219838658,-84.97049437915373
674,Carroll County,Villa Rica High School,H,600 Rocky Branch Rd,Villa Rica,30180,76.7,33.726191,-84.949115
675,Cherokee County,Oak Grove Elementary School Fine Arts Academy,E,6118 Woodstock Rd,Acworth,30102,76.1,34.10012285389907,-84.60808974409812
676,Cherokee County,Hickory Flat Elementary School,E,2755 E Cherokee Dr,Canton,30115,82.4,34.17084505,-84.42387688582158
677,Cherokee County,Cherokee High School,H,930 Marietta Hwy,Canton,30114,73.3,34.23425245,-84.50297673413905
678,Cherokee County,Macedonia Elementary School,E,10370 E Cherokee Dr,Canton,30115,76.0,34.248504218888435,-84.3585887764637
679,Clayton County,Anderson Elementary School,E,4199 Old Rock Cut Rd,Conley,30288,63.8,33.63987476000191,-84.33338848071868
680,Clayton County,East Clayton Elementary School,E,2750 Forest Pkwy,Ellenwood,30294,59.5,33.61192332848673,-84.29880043462018
681,Clayton County,Forest Park High School,H,5452 Phillips Dr,Forest Park,30297,61.6,33.605162931168934,-84.35535839311689
682,Clayton County,Jonesboro High School,H,7728 Mount Zion Blvd,Jonesboro,30236,68.3,33.54533513540544,-84.33768406378348
683,Clayton County,Lee Street Elementary School,E,178 Lee St,Jonesboro,30236,65.3,33.52421005,-84.35634116948972
684,Clayton County,Northcutt Elementary School,E,5451 W Fayetteville Rd,College Park,30349,52.9,33.60739957142857,-84.44640614285714
685,Clayton County,Tara Elementary School,E,937 Mount Zion Rd,Morrow,30260,64.7,33.572413530612245,-84.35994695918367
686,Clayton County,Arnold Elementary School,E,216 Stockbridge Rd,Jonesboro,30236,83.7,33.526152,-84.346726
687,Clayton County,North Clayton High School,H,1525 Norman Dr,College Park,30349,58.3,33.60809897634449,-84.43920846012728
688,Clayton County,Forest Park Middle School,M,930 Finley Dr,Forest Park,30297,64.5,33.6214206645944,-84.35976797510433
689,Clayton County,Morrow Elementary School,E,6115 Reynolds Rd,Morrow,30260,73.5,33.588577784403455,-84.34055215269542
690,Clayton County,Riverdale Elementary School,E,6253 Garden Walk Blvd,Riverdale,30274,65.0,33.58489555,-84.39281646581858
691,Clayton County,West Clayton Elementary School,E,5580 Riverdale Rd,College Park,30349,54.6,33.6152808,-84.438619
692,Clayton County,Fountain Elementary School,E,5215 West St,Forest Park,30297,70.3,33.61242149640584,-84.37234386829444
693,Clayton County,Babb Middle School,M,5500 Reynolds Rd,Forest Park,30297,68.4,33.60334445834302,-84.35350109731584
694,Clayton County,North Clayton Middle School,M,5517 W Fayetteville Rd,College Park,30349,65.0,33.60534414285714,-84.44632374489795
695,Clayton County,Haynie Elementary School,E,1169 Morrow Rd,Morrow,30260,74.9,33.587491,-84.353204
696,Clayton County,Riverdale Middle School,M,400 Roberts Dr,Riverdale,30274,63.1,33.5574179266669,-84.4009540271921
697,Clayton County,Church Street Elementary School,E,7013 Church St,Riverdale,30274,76.5,33.56368621076239,-84.41695179749286
698,Clayton County,Lake City Elementary School,E,5354 Phillips Dr,Lake City,30260,83.9,33.608839,-84.356636
699,Clayton County,Morrow High School,H,2299 Old Rex Morrow Rd,Morrow,30260,67.7,33.592646,-84.3170943
700,Clayton County,Suder Elementary School,E,1400 Lake Jodeco Rd,Jonesboro,30236,53.3,33.514312,-84.344788
701,Clayton County,Edmonds Elementary School,E,4495 Simpson Rd,Forest Park,30297,68.3,33.632069,-84.350381
702,Clayton County,Huie Elementary School,E,1260 Rockcut Rd,Forest Park,30297,60.2,33.638453,-84.349525
703,Clayton County,McGarrah Elementary School,E,2201 Lake Harbin Rd,Morrow,30260,76.5,33.5817773,-84.3182566
704,Cobb County,Belmont Hills Elementary School,E,605 Glendale Pl SE,Smyrna,30080,63.6,33.8908693,-84.5380777
705,Cobb County,Campbell High School,H,5265 Ward St SE,Smyrna,30080,76.1,33.8890741,-84.52509520153725
706,Cobb County,East Cobb Middle School,M,380 Holt Rd NE,Marietta,30068,67.1,33.9604214,-84.47679569105964
707,Cobb County,Garrett Middle School,M,5235 Austell Powder Springs Rd,Austell,30106,60.0,33.827658650000004,-84.6437724038494
