,Apt ID,Apt Latitude,Apt Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
30043,689,33.565527,-84.40460399999998,Dr Anthony Onyegbula,33.5732915,-84.4060677,Doctor's Office
30044,689,33.565527,-84.40460399999998,urgent care automotive,33.56735923963536,-84.41061102351699,Automotive Shop
30045,689,33.565527,-84.40460399999998,Uncomfort,33.57159423828125,-84.40424346923828,Conference Room
30046,689,33.565527,-84.40460399999998,Down Town Time,33.57164764404297,-84.40423583984375,Gift Shop
30047,689,33.565527,-84.40460399999998,Stepping on Toes,33.571651458740234,-84.40402221679688,Law School
30048,689,33.565527,-84.40460399999998,Dr. Orlando,33.57285690307617,-84.40550994873047,Doctor's Office
30049,689,33.565527,-84.40460399999998,Phillips 66,33.57210629857318,-84.40644128038963,Gas Station
30050,689,33.565527,-84.40460399999998,Stiles Bodyshop,33.567822,-84.411231,Automotive Shop
30051,690,33.579480700000005,-84.38409809999999,Wings & Seafood,33.578327,-84.38364200000001,Wings Joint
30052,690,33.579480700000005,-84.38409809999999,BP,33.579547,-84.384165,Gas Station
30053,690,33.579480700000005,-84.38409809999999,University Of Phoenix Gwinnett,33.587084589445084,-84.38226717649191,University
30054,690,33.579480700000005,-84.38409809999999,Body Perfections,33.5782736,-84.383404,Spa
30055,690,33.579480700000005,-84.38409809999999,Riverwoods Behavioral Health System,33.582079,-84.390831,Hospital
30056,690,33.579480700000005,-84.38409809999999,Clayton County Event Hall,33.57908736583824,-84.3835723400116,Outdoor Event Space
30057,690,33.579480700000005,-84.38409809999999,Family Nails 2,33.57917,-84.383749,Nail Salon
30058,690,33.579480700000005,-84.38409809999999,densons transportation,33.578327,-84.38364200000001,Transportation Service
30059,690,33.579480700000005,-84.38409809999999,Especially For Kids Christian Academy at Southern Regional,33.547070893834984,-84.40289529710414,Nursery School
30060,690,33.579480700000005,-84.38409809999999,Tara Discount Mall,33.58049358462281,-84.3770936187564,Flea Market
30061,690,33.579480700000005,-84.38409809999999,CVS pharmacy,33.577759855898,-84.38861881058749,Pharmacy
30062,690,33.579480700000005,-84.38409809999999,Checkers,33.58153431214761,-84.37715838958866,Fast Food Restaurant
30063,690,33.579480700000005,-84.38409809999999,studio 910,33.579706285744415,-84.38355023061659,Design Studio
30064,690,33.579480700000005,-84.38409809999999,LabCorp,33.577492,-84.392154,Medical Lab
30065,690,33.579480700000005,-84.38409809999999,Southern Crescent Hospital for Specialty Care,33.580575,-84.388225,Hospital
30066,690,33.579480700000005,-84.38409809999999,Southern Regional Antepartum Unit,33.58334664009597,-84.38984192339073,Hospital
