,SchoolName,Latitude,Longitude
37,Sharon Elementary School,34.102939,-84.13679239457812
38,Riverwatch Middle School,34.124520200000006,-84.11000929058761
39,Shiloh Point Elementary School,34.14241920626019,-84.17590719614772
40,Johns Creek Elementary School,34.0632059,-84.12757713209051
41,Daves Creek Elementary School,34.135473299999994,-84.14286829999999
42,Whitlow Elementary School,34.189054630559355,-84.16039664915522
43,Lakeside Middle School,34.164987455305365,-84.10062564071356
44,South Forsyth Middle School,34.115936250000004,-84.15296035354035
45,Summit Hill Elementary School,34.118283116077215,-84.32280609772752
46,Abbotts Hill Elementary School,34.05612670000001,-84.19647940000002
47,Creek View Elementary School,34.07632733661634,-84.2440253194159
48,Hopewell Middle School,34.09879905859163,-84.28094439221238
49,Milton High School,34.09911525,-84.3372868338009
50,Dolvin Elementary School,34.070881799999995,-84.20432729999999
51,Barnwell Elementary School,34.0084089,-84.2516923
52,Lake Windward Elementary School,34.06786254538064,-84.21059943740423
53,Crabapple Crossing Elementary School,34.093212300000005,-84.3377702709048
54,Northview High School,34.03911975,-84.17762775214132
55,Alpharetta High School,34.07826354553282,-84.25557612238448
56,Findley Oaks Elementary School,34.06093355,-84.18647066994461
57,State Bridge Crossing Elementary School,34.02334609579633,-84.19779097878892
58,Chattahoochee High School,34.048021201606076,-84.20914057398808
59,River Trail Middle School,34.043115773251635,-84.12998118404913
60,Northwestern Middle School,34.095919949999995,-84.33716398168059
61,Johns Creek High School,34.0224378,-84.19291935685692
62,Benefield Elementary School,33.9535502175432,-84.02852117021254
63,Brookwood High School,33.8694779,-84.0163171
64,Berkeley Lake Elementary School,33.979423,-84.18625
65,Walnut Grove Elementary School,34.01792807152955,-84.02096566503977
66,Annistown Elementary School,33.802331,-84.070319
67,Fort Daniel Elementary School,34.04049503263025,-83.91871585083632
68,Sugar Hill Elementary School,34.099782299999994,-84.040009
69,Hull Middle School,34.01470769443499,-84.10404715118439
70,Berkmar Middle School,33.90083098215844,-84.12808179277312
71,Ivy Creek Elementary School,34.09621473271371,-83.93804598322544
72,Gwin Oaks Elementary School,33.894928,-84.06851
73,Arcado Elementary School,33.8926177,-84.11353129999999
74,Pharr Elementary School,33.891443622087635,-84.00633711649671
75,Riverside Elementary School,34.09363915,-84.09692935594448
76,Glenn C. Jones Middle School,34.101873360023376,-83.93852325648871
77,Puckett's Mill Elementary School,34.072720000000004,-83.93303
78,Simpson Elementary School,33.997742034350274,-84.2295798255202
79,McConnell Middle School,33.893294999999995,-83.9137411818182
80,Sycamore Elementary School,34.12612861059312,-84.0457386957043
81,Trip Elementary School,33.87127763198485,-83.96001693074444
82,Buford Middle School,34.127557,-83.99111500000001
83,Marietta Center for Advanced Academics,33.9443711,-84.52553571468006
84,Northside Elementary School,33.424209999999995,-84.798874
85,Ashford Park Elementary School,33.87500834566158,-84.3211461774908
86,Laurel Ridge Elementary School,33.8154910625,-84.27688
